Count;Tick
16.0;1.0
15.0;2.0
15.0;3.0
18.0;4.0
18.0;5.0
17.0;6.0
17.0;7.0
19.0;8.0
19.0;9.0
19.0;10.0
20.0;11.0
20.0;12.0
18.0;13.0
17.0;14.0
17.0;15.0
19.0;16.0
19.0;17.0
18.0;18.0
17.0;19.0
17.0;20.0
20.0;21.0
19.0;22.0
19.0;23.0
18.0;24.0
17.0;25.0
18.0;26.0
18.0;27.0
18.0;28.0
20.0;29.0
18.0;30.0
17.0;31.0
16.0;32.0
15.0;33.0
17.0;34.0
13.0;35.0
13.0;36.0
10.0;37.0
9.0;38.0
5.0;39.0
5.0;40.0
4.0;41.0
4.0;42.0
4.0;43.0
3.0;44.0
3.0;45.0
3.0;46.0
2.0;47.0
5.0;48.0
1;49.0
2.0;50.0
1;55.0
1;56.0
2.0;57.0
2.0;58.0
1;59.0
1;60.0
2.0;61.0
1;62.0
1;63.0
1;66.0
2.0;67.0
2.0;68.0
1;69.0
3.0;70.0
2.0;72.0
