Source;Reference;Payload;Tick
12;0;payload;22.0
12;1;payload;29.0
12;2;payload;41.0
12;3;payload;48.0
12;4;payload;77.0
12;5;payload;81.0
12;6;payload;84.0
12;7;payload;91.0
12;8;payload;99.0
12;9;payload;101.0
12;10;payload;110.0
12;11;payload;122.0
12;12;payload;126.0
12;13;payload;132.0
12;14;payload;135.0
12;15;payload;137.0
12;16;payload;139.0
12;17;payload;141.0
12;18;payload;142.0
12;19;payload;153.0
12;20;payload;166.0
12;21;payload;167.0
12;22;payload;179.0
12;23;payload;184.0
12;24;payload;186.0
12;25;payload;189.0
12;26;payload;196.0
12;27;payload;229.0
12;28;payload;232.0
12;29;payload;257.0
12;30;payload;259.0
12;31;payload;259.0
12;32;payload;265.0
12;33;payload;271.0
12;34;payload;274.0
12;35;payload;299.0
12;36;payload;306.0
12;37;payload;317.0
12;38;payload;329.0
12;39;payload;336.0
12;40;payload;337.0
12;41;payload;338.0
12;42;payload;351.0
12;43;payload;355.0
12;44;payload;356.0
12;45;payload;365.0
12;46;payload;367.0
12;47;payload;381.0
12;48;payload;392.0
12;49;payload;403.0
12;50;payload;405.0
12;51;payload;407.0
12;52;payload;408.0
12;53;payload;411.0
12;54;payload;421.0
12;55;payload;429.0
12;56;payload;431.0
12;57;payload;434.0
12;58;payload;446.0
12;59;payload;461.0
12;60;payload;462.0
12;61;payload;469.0
12;62;payload;480.0
12;63;payload;481.0
12;64;payload;484.0
12;65;payload;487.0
12;66;payload;493.0
12;67;payload;501.0
12;68;payload;512.0
12;69;payload;524.0
12;70;payload;536.0
12;71;payload;547.0
12;72;payload;559.0
12;73;payload;562.0
12;74;payload;563.0
12;75;payload;619.0
12;76;payload;626.0
12;77;payload;629.0
12;78;payload;631.0
12;79;payload;632.0
12;80;payload;633.0
12;81;payload;640.0
12;82;payload;647.0
12;83;payload;663.0
12;84;payload;669.0
12;85;payload;691.0
12;86;payload;700.0
12;87;payload;710.0
12;88;payload;716.0
12;89;payload;719.0
12;90;payload;720.0
12;91;payload;725.0
12;92;payload;731.0
12;93;payload;732.0
12;94;payload;738.0
12;95;payload;752.0
12;96;payload;758.0
12;97;payload;770.0
12;98;payload;780.0
12;99;payload;781.0
12;100;payload;783.0
12;101;payload;788.0
12;102;payload;789.0
12;103;payload;791.0
12;104;payload;792.0
12;105;payload;799.0
12;106;payload;808.0
12;107;payload;821.0
12;108;payload;824.0
12;109;payload;839.0
12;110;payload;842.0
12;111;payload;844.0
12;112;payload;849.0
12;113;payload;851.0
12;114;payload;858.0
12;115;payload;873.0
12;116;payload;882.0
12;117;payload;889.0
12;118;payload;909.0
12;119;payload;915.0
12;120;payload;922.0
12;121;payload;924.0
12;122;payload;928.0
12;123;payload;933.0
12;124;payload;942.0
12;125;payload;951.0
12;126;payload;962.0
12;127;payload;965.0
12;128;payload;975.0
12;129;payload;977.0
12;130;payload;981.0
12;131;payload;993.0
12;132;payload;1000.0
