Source;Reference;Payload;Tick
16;0;payload;4.0
16;1;payload;28.0
16;2;payload;31.0
16;3;payload;32.0
16;4;payload;34.0
16;5;payload;58.0
16;6;payload;62.0
16;7;payload;99.0
16;8;payload;118.0
16;9;payload;128.0
16;10;payload;183.0
16;11;payload;189.0
16;12;payload;292.0
16;13;payload;315.0
16;14;payload;359.0
16;15;payload;383.0
16;16;payload;384.0
16;17;payload;412.0
16;18;payload;418.0
16;19;payload;441.0
16;20;payload;472.0
16;21;payload;491.0
16;22;payload;508.0
16;23;payload;513.0
16;24;payload;533.0
16;25;payload;575.0
16;26;payload;612.0
16;27;payload;636.0
16;28;payload;652.0
16;29;payload;653.0
16;30;payload;657.0
16;31;payload;661.0
16;32;payload;662.0
16;33;payload;665.0
16;34;payload;682.0
16;35;payload;734.0
16;36;payload;750.0
16;37;payload;752.0
16;38;payload;779.0
16;39;payload;798.0
16;40;payload;801.0
16;41;payload;802.0
16;42;payload;841.0
16;43;payload;860.0
16;44;payload;867.0
16;45;payload;872.0
16;46;payload;877.0
16;47;payload;889.0
16;48;payload;915.0
16;49;payload;933.0
16;50;payload;941.0
16;51;payload;957.0
16;52;payload;958.0
16;53;payload;967.0
16;54;payload;995.0
